title,company,location,skills,salary
data scientist,Cisco Systems,Noida,"python, machine learning, pandas, numpy, sql",19.0L
data scientist,Bajaj Finserv,Pune,"python, machine learning, pandas, numpy, sql",11.9L
data scientist,Dell,Pune,"python, machine learning, pandas, numpy, sql",17.0L
data scientist,Dunnhumby,Noida,"python, machine learning, pandas, numpy, sql",12.9L
data scientist,Honeywell Technology Solutions,Bangalore,"python, machine learning, pandas, numpy, sql",15.1L
data scientist,Bristlecone,Noida,"python, machine learning, pandas, numpy, sql",9.0L
data scientist,Sigmoid Analytics,Bangalore,"python, machine learning, pandas, numpy, sql",14.9L
data scientist,Applied Materials,Mumbai,"python, machine learning, pandas, numpy, sql",14.2L
data scientist,Citicorp,Delhi,"python, machine learning, pandas, numpy, sql",19.2L
data scientist,Siemens,Bangalore,"python, machine learning, pandas, numpy, sql",13.5L
data scientist,MasterCard,Hyderabad,"python, machine learning, pandas, numpy, sql",19.6L
data scientist,Bosch Global Software Technologies,Mumbai,"python, machine learning, pandas, numpy, sql",11.9L
data scientist,Wolters Kluwer,Hyderabad,"python, machine learning, pandas, numpy, sql",12.5L
data scientist,Birlasoft,Hyderabad,"python, machine learning, pandas, numpy, sql",8.0L
data scientist,Atos,Bangalore,"python, machine learning, pandas, numpy, sql",13.0L
data scientist,Info Edge,Bangalore,"python, machine learning, pandas, numpy, sql",16.9L
data scientist,VMware Software,Pune,"python, machine learning, pandas, numpy, sql",23.6L
data scientist,Course5,Chennai,"python, machine learning, pandas, numpy, sql",8.1L
data scientist,Bridgei2i Analytics Solutions,Noida,"python, machine learning, pandas, numpy, sql",9.4L
data scientist,Larsen & Toubro Limited,Chennai,"python, machine learning, pandas, numpy, sql",9.4L
data scientist,iNeuron.ai,Hyderabad,"python, machine learning, pandas, numpy, sql",5.1L
data scientist,Tredence,Gurgaon,"python, machine learning, pandas, numpy, sql",14.4L
data scientist,Enquero,Chennai,"python, machine learning, pandas, numpy, sql",11.5L
data scientist,R Systems International,Mumbai,"python, machine learning, pandas, numpy, sql",16.2L
data scientist,UST,Gurgaon,"python, machine learning, pandas, numpy, sql",9.8L
data scientist,Cgi Group,Hyderabad,"python, machine learning, pandas, numpy, sql",8.2L
data scientist,Bank of America,Mumbai,"python, machine learning, pandas, numpy, sql",22.8L
data scientist,Axis Bank,Noida,"python, machine learning, pandas, numpy, sql",11.7L
data scientist,Ganit Business Solutions,Bangalore,"python, machine learning, pandas, numpy, sql",12.6L
data scientist,Virtusa Consulting Services,Hyderabad,"python, machine learning, pandas, numpy, sql",9.7L
data scientist,ITC Infotech India,Hyderabad,"python, machine learning, pandas, numpy, sql",10.9L
data scientist,Gramener,Delhi,"python, machine learning, pandas, numpy, sql",9.8L
data scientist,Subex,Noida,"python, machine learning, pandas, numpy, sql",10.8L
data scientist,Xoriant,Delhi,"python, machine learning, pandas, numpy, sql",10.4L
data scientist,Caterpillar Inc,Gurgaon,"python, machine learning, pandas, numpy, sql",12.8L
data scientist,ICICI Bank,Delhi,"python, machine learning, pandas, numpy, sql",11.9L
data scientist,Freelance Consultants,Mumbai,"python, machine learning, pandas, numpy, sql",10.2L
data scientist,Sutherland Global Services,Bangalore,"python, machine learning, pandas, numpy, sql",8.5L
data scientist,Prodapt Solutions,Bangalore,"python, machine learning, pandas, numpy, sql",6.9L
data scientist,Rubixe,Bangalore,"python, machine learning, pandas, numpy, sql",4.7L
data scientist,NDS InfoServ,Gurgaon,"python, machine learning, pandas, numpy, sql",9.1L
data scientist,Zensar Technologies,Bangalore,"python, machine learning, pandas, numpy, sql",8.2L
data scientist,Fidelity National Information Services,Bangalore,"python, machine learning, pandas, numpy, sql",10.9L
data scientist,KPIT Technologies,Delhi,"python, machine learning, pandas, numpy, sql",7.7L
data scientist,Citibank,Chennai,"python, machine learning, pandas, numpy, sql",17.3L
data scientist,ValueLabs,Chennai,"python, machine learning, pandas, numpy, sql",14.6L
data scientist,ABB Group,Chennai,"python, machine learning, pandas, numpy, sql",13.0L
data scientist,L&T Financial Services,Delhi,"python, machine learning, pandas, numpy, sql",9.3L
data scientist,Value c Consulting India,Pune,"python, machine learning, pandas, numpy, sql",5.2L
data scientist,Lumiq.ai,Chennai,"python, machine learning, pandas, numpy, sql",8.3L
data scientist,Flip Robo Technologies,Gurgaon,"python, machine learning, pandas, numpy, sql",4.7L
data scientist,Philips,Chennai,"python, machine learning, pandas, numpy, sql",17.9L
data scientist,Nokia,Delhi,"python, machine learning, pandas, numpy, sql",13.0L
data scientist,Confidential,Chennai,"python, machine learning, pandas, numpy, sql",8.5L
data scientist,Tata Technologies,Pune,"python, machine learning, pandas, numpy, sql",6.6L
data scientist,Nielsen,Noida,"python, machine learning, pandas, numpy, sql",7.0L
data scientist,Kantar,Delhi,"python, machine learning, pandas, numpy, sql",11.5L
data scientist,Persistent Systems,Hyderabad,"python, machine learning, pandas, numpy, sql",10.5L
data scientist,Exl India,Chennai,"python, machine learning, pandas, numpy, sql",14.0L
data scientist,Blue Yonder,Bangalore,"python, machine learning, pandas, numpy, sql",20.6L
data scientist,Brane Enterprises,Bangalore,"python, machine learning, pandas, numpy, sql",14.0L
data scientist,Micron Technology,Hyderabad,"python, machine learning, pandas, numpy, sql",16.4L
data scientist,Indegene,Hyderabad,"python, machine learning, pandas, numpy, sql",9.6L
data scientist,CARS24.com,Noida,"python, machine learning, pandas, numpy, sql",20.3L
data scientist,GlobalLogic,Delhi,"python, machine learning, pandas, numpy, sql",14.6L
data scientist,Maersk,Pune,"python, machine learning, pandas, numpy, sql",20.9L
data scientist,Barclays,Delhi,"python, machine learning, pandas, numpy, sql",18.2L
data scientist,Indium Software,Chennai,"python, machine learning, pandas, numpy, sql",7.9L
data scientist,Celebal Technologies,Mumbai,"python, machine learning, pandas, numpy, sql",8.6L
data scientist,Affine Analytics,Gurgaon,"python, machine learning, pandas, numpy, sql",9.7L
data scientist,Fidelity Investment,Hyderabad,"python, machine learning, pandas, numpy, sql",23.4L
data scientist,Jio Platforms,Pune,"python, machine learning, pandas, numpy, sql",13.9L
data scientist,Happiest Minds Technologies,Mumbai,"python, machine learning, pandas, numpy, sql",8.7L
data scientist,Adobe,Noida,"python, machine learning, pandas, numpy, sql",29.4L
data scientist,CitiusTech,Mumbai,"python, machine learning, pandas, numpy, sql",10.4L
data scientist,Scienaptic Systems,Noida,"python, machine learning, pandas, numpy, sql",14.6L
data scientist,Boeing,Gurgaon,"python, machine learning, pandas, numpy, sql",19.4L
data scientist,Citigroup,Chennai,"python, machine learning, pandas, numpy, sql",18.4L
data scientist,Marlabs,Bangalore,"python, machine learning, pandas, numpy, sql",9.3L
data scientist,TransOrg Analytics,Hyderabad,"python, machine learning, pandas, numpy, sql",9.4L
data scientist,T-Systems,Delhi,"python, machine learning, pandas, numpy, sql",14.1L
data scientist,Sopra Steria,Mumbai,"python, machine learning, pandas, numpy, sql",12.1L
data scientist,Apexon,Mumbai,"python, machine learning, pandas, numpy, sql",7.5L
data scientist,Embibe,Chennai,"python, machine learning, pandas, numpy, sql",16.6L
data scientist,Quest Global,Chennai,"python, machine learning, pandas, numpy, sql",6.7L
data scientist,Harman Connected Services,Chennai,"python, machine learning, pandas, numpy, sql",13.6L
data scientist,Exxon Mobil,Hyderabad,"python, machine learning, pandas, numpy, sql",23.2L
data scientist,Ugam Solution,Gurgaon,"python, machine learning, pandas, numpy, sql",9.8L
data scientist,L&T Technology Services,Noida,"python, machine learning, pandas, numpy, sql",8.7L
data scientist,Credit Suisse,Bangalore,"python, machine learning, pandas, numpy, sql",17.4L
data scientist,Iris Software,Hyderabad,"python, machine learning, pandas, numpy, sql",18.5L
data scientist,Delhivery,Delhi,"python, machine learning, pandas, numpy, sql",15.6L
data scientist,Abzooba India Infotech,Hyderabad,"python, machine learning, pandas, numpy, sql",15.0L
data scientist,Sonata Software,Gurgaon,"python, machine learning, pandas, numpy, sql",8.1L
data scientist,Incedo,Delhi,"python, machine learning, pandas, numpy, sql",12.2L
data scientist,Go-Jek,Noida,"python, machine learning, pandas, numpy, sql",30.5L
data scientist,GE,Mumbai,"python, machine learning, pandas, numpy, sql",14.3L
data scientist,Fiserv,Hyderabad,"python, machine learning, pandas, numpy, sql",12.1L
data scientist,UBS,Hyderabad,"python, machine learning, pandas, numpy, sql",15.2L
data scientist,Quantiphi Analytics Solutions,Gurgaon,"python, machine learning, pandas, numpy, sql",9.8L
data scientist,Amdocs,Pune,"python, machine learning, pandas, numpy, sql",8.5L
data scientist,Apple,Mumbai,"python, machine learning, pandas, numpy, sql",33.6L
data scientist,Oyo Rooms,Gurgaon,"python, machine learning, pandas, numpy, sql",14.7L
data scientist,iOPEX Technologies,Chennai,"python, machine learning, pandas, numpy, sql",7.9L
data scientist,Yash Technologies,Gurgaon,"python, machine learning, pandas, numpy, sql",11.2L
data scientist,Franklin Templeton Investments,Delhi,"python, machine learning, pandas, numpy, sql",27.7L
data scientist,N+A,Chennai,"python, machine learning, pandas, numpy, sql",8.6L
data scientist,ICICI Lombard General Insurance Company,Mumbai,"python, machine learning, pandas, numpy, sql",12.1L
data scientist,Reserve Bank Information Technology,Pune,"python, machine learning, pandas, numpy, sql",15.9L
data scientist,o9 Solutions,Mumbai,"python, machine learning, pandas, numpy, sql",13.8L
data scientist,HTC Global Services,Mumbai,"python, machine learning, pandas, numpy, sql",6.4L
data scientist,Accolite Digital,Bangalore,"python, machine learning, pandas, numpy, sql",14.5L
data scientist,Wipro Digital,Chennai,"python, machine learning, pandas, numpy, sql",11.1L
data scientist,CSS Corp,Delhi,"python, machine learning, pandas, numpy, sql",10.2L
data scientist,Morgan Stanley,Chennai,"python, machine learning, pandas, numpy, sql",18.1L
data scientist,Zee Entertainment Enterprises,Hyderabad,"python, machine learning, pandas, numpy, sql",16.7L
data scientist,Ola Cabs,Hyderabad,"python, machine learning, pandas, numpy, sql",21.9L
data scientist,NatWest Markets,Pune,"python, machine learning, pandas, numpy, sql",16.0L
data scientist,Myntra,Bangalore,"python, machine learning, pandas, numpy, sql",16.9L
business analyst,TCS,Gurgaon,"communication, teamwork, problem solving",6.9L
business analyst,Accenture,Pune,"communication, teamwork, problem solving",7.0L
business analyst,Genpact,Mumbai,"communication, teamwork, problem solving",6.4L
business analyst,Wipro,Delhi,"communication, teamwork, problem solving",8.6L
business analyst,Cognizant,Delhi,"communication, teamwork, problem solving",8.6L
business analyst,Deloitte,Hyderabad,"communication, teamwork, problem solving",7.8L
business analyst,HCL Technologies,Chennai,"communication, teamwork, problem solving",6.6L
business analyst,Evalueserve,Delhi,"communication, teamwork, problem solving",6.5L
business analyst,Infosys,Noida,"communication, teamwork, problem solving",8.9L
business analyst,IBM,Mumbai,"communication, teamwork, problem solving",8.3L
business analyst,DXC Technology,Bangalore,"communication, teamwork, problem solving",7.7L
business analyst,Tech Mahindra,Noida,"communication, teamwork, problem solving",7.6L
business analyst,American Express,Chennai,"communication, teamwork, problem solving",8.3L
business analyst,Capgemini,Chennai,"communication, teamwork, problem solving",9.1L
business analyst,Societe Generale,Gurgaon,"communication, teamwork, problem solving",13.5L
business analyst,EXL Service,Pune,"communication, teamwork, problem solving",6.2L
business analyst,Amazon,Pune,"communication, teamwork, problem solving",11.3L
business analyst,HSBC,Bangalore,"communication, teamwork, problem solving",12.1L
business analyst,ICICI Bank,Noida,"communication, teamwork, problem solving",6.7L
business analyst,JP Morgan Chase,Chennai,"communication, teamwork, problem solving",12.4L
business analyst,Zomato,Bangalore,"communication, teamwork, problem solving",10.7L
business analyst,L&T Infotech,Noida,"communication, teamwork, problem solving",9.7L
business analyst,Shell,Mumbai,"communication, teamwork, problem solving",19.5L
business analyst,Barclays,Chennai,"communication, teamwork, problem solving",12.3L
business analyst,Cgi Group,Bangalore,"communication, teamwork, problem solving",6.9L
business analyst,Oracle,Chennai,"communication, teamwork, problem solving",5.5L
business analyst,Amdocs,Noida,"communication, teamwork, problem solving",12.1L
business analyst,Conduent,Gurgaon,"communication, teamwork, problem solving",6.1L
business analyst,Fidelity National Information Services,Bangalore,"communication, teamwork, problem solving",10.8L
business analyst,HDFC Bank,Bangalore,"communication, teamwork, problem solving",7.9L
business analyst,Novo Nordisk,Delhi,"communication, teamwork, problem solving",11.5L
business analyst,Axis Bank,Hyderabad,"communication, teamwork, problem solving",9.7L
business analyst,Ernst & Young,Noida,"communication, teamwork, problem solving",8.8L
business analyst,Credit Suisse,Noida,"communication, teamwork, problem solving",15.2L
business analyst,Hewlett-Packard Enterprise,Hyderabad,"communication, teamwork, problem solving",6.7L
business analyst,CG Foods,Hyderabad,"communication, teamwork, problem solving",4.8L
business analyst,Quantiphi Analytics Solutions,Noida,"communication, teamwork, problem solving",8.9L
business analyst,NetCracker,Chennai,"communication, teamwork, problem solving",18.7L
business analyst,Oyo Rooms,Gurgaon,"communication, teamwork, problem solving",10.2L
business analyst,VMware Software,Delhi,"communication, teamwork, problem solving",9.8L
business analyst,Mphasis,Pune,"communication, teamwork, problem solving",10.0L
business analyst,Exl India,Delhi,"communication, teamwork, problem solving",6.3L
business analyst,Mindtree,Gurgaon,"communication, teamwork, problem solving",9.5L
business analyst,Newgen Software Technologies,Chennai,"communication, teamwork, problem solving",9.3L
business analyst,NTT DATA,Chennai,"communication, teamwork, problem solving",7.3L
business analyst,Hexaware Technologies,Mumbai,"communication, teamwork, problem solving",10.0L
business analyst,Temenos,Bangalore,"communication, teamwork, problem solving",8.8L
business analyst,Wells Fargo India,Gurgaon,"communication, teamwork, problem solving",12.0L
business analyst,Barclays Shared Services,Mumbai,"communication, teamwork, problem solving",8.3L
business analyst,Bridgei2i Analytics Solutions,Bangalore,"communication, teamwork, problem solving",6.0L
business analyst,Tata Technologies,Noida,"communication, teamwork, problem solving",6.4L
business analyst,Standard Chartered Bank,Mumbai,"communication, teamwork, problem solving",12.0L
business analyst,Mu Sigma,Gurgaon,"communication, teamwork, problem solving",6.9L
business analyst,Virtusa Consulting Services,Bangalore,"communication, teamwork, problem solving",10.6L
business analyst,Allianz Technology,Chennai,"communication, teamwork, problem solving",8.2L
business analyst,Kotak Mahindra Bank,Mumbai,"communication, teamwork, problem solving",7.5L
business analyst,Citicorp,Noida,"communication, teamwork, problem solving",15.6L
business analyst,BNP Paribas,Hyderabad,"communication, teamwork, problem solving",10.7L
business analyst,UST,Hyderabad,"communication, teamwork, problem solving",11.1L
business analyst,Flipkart,Hyderabad,"communication, teamwork, problem solving",12.3L
business analyst,Barclays Global Service Centre,Bangalore,"communication, teamwork, problem solving",11.7L
business analyst,BNY Mellon,Bangalore,"communication, teamwork, problem solving",8.5L
business analyst,Optum,Mumbai,"communication, teamwork, problem solving",8.6L
business analyst,Ola Cabs,Mumbai,"communication, teamwork, problem solving",11.3L
business analyst,UBS,Chennai,"communication, teamwork, problem solving",14.5L
business analyst,Odessa,Chennai,"communication, teamwork, problem solving",11.0L
business analyst,bnp paribas india solutions,Hyderabad,"communication, teamwork, problem solving",10.2L
business analyst,UnitedHealth,Pune,"communication, teamwork, problem solving",8.3L
business analyst,HCL Technologies BPO Services,Hyderabad,"communication, teamwork, problem solving",2.3L
business analyst,Ramco Systems,Delhi,"communication, teamwork, problem solving",7.6L
business analyst,Tredence,Bangalore,"communication, teamwork, problem solving",6.9L
business analyst,Novartis Healthcare,Hyderabad,"communication, teamwork, problem solving",10.0L
business analyst,Atos Syntel,Bangalore,"communication, teamwork, problem solving",7.6L
business analyst,Cisco Systems,Chennai,"communication, teamwork, problem solving",12.5L
business analyst,ITC Infotech India,Delhi,"communication, teamwork, problem solving",7.8L
business analyst,Deutsche Bank,Mumbai,"communication, teamwork, problem solving",9.1L
business analyst,Dell,Noida,"communication, teamwork, problem solving",7.0L
business analyst,Paytm,Noida,"communication, teamwork, problem solving",7.7L
business analyst,3i Infotech,Noida,"communication, teamwork, problem solving",6.1L
business analyst,KPMG,Noida,"communication, teamwork, problem solving",8.2L
business analyst,Fiserv,Bangalore,"communication, teamwork, problem solving",11.6L
business analyst,Zensar Technologies,Pune,"communication, teamwork, problem solving",6.7L
business analyst,Legato Health Technologies,Gurgaon,"communication, teamwork, problem solving",8.0L
business analyst,Swiggy,Noida,"communication, teamwork, problem solving",13.2L
business analyst,GEP Worldwide,Mumbai,"communication, teamwork, problem solving",6.4L
business analyst,Intellect Design Arena,Delhi,"communication, teamwork, problem solving",11.2L
business analyst,Standard Chartered Global Business Services,Hyderabad,"communication, teamwork, problem solving",12.7L
business analyst,ZS,Bangalore,"communication, teamwork, problem solving",9.6L
business analyst,Concentrix Corporation,Gurgaon,"communication, teamwork, problem solving",5.4L
business analyst,Reliance jio,Delhi,"communication, teamwork, problem solving",6.8L
business analyst,NatWest Group,Chennai,"communication, teamwork, problem solving",9.5L
business analyst,IQVIA,Mumbai,"communication, teamwork, problem solving",8.3L
business analyst,PwC,Chennai,"communication, teamwork, problem solving",9.9L
business analyst,ValueMomentum,Bangalore,"communication, teamwork, problem solving",6.1L
business analyst,ADP Solutions,Noida,"communication, teamwork, problem solving",8.2L
business analyst,Provana,Gurgaon,"communication, teamwork, problem solving",4.8L
business analyst,ANR Software,Pune,"communication, teamwork, problem solving",4.5L
business analyst,WNS,Hyderabad,"communication, teamwork, problem solving",6.8L
business analyst,Oracle Financial Services Software,Gurgaon,"communication, teamwork, problem solving",10.2L
business analyst,RevGurus Info India,Mumbai,"communication, teamwork, problem solving",8.3L
business analyst,Sapiens,Mumbai,"communication, teamwork, problem solving",12.5L
business analyst,Etech Global Services,Delhi,"communication, teamwork, problem solving",6.4L
business analyst,Citibank,Mumbai,"communication, teamwork, problem solving",16.7L
business analyst,Coforge,Noida,"communication, teamwork, problem solving",16.1L
business analyst,ABC,Bangalore,"communication, teamwork, problem solving",13.6L
business analyst,Merkle Sokrati,Hyderabad,"communication, teamwork, problem solving",4.5L
business analyst,First Source,Mumbai,"communication, teamwork, problem solving",4.4L
business analyst,Meesho,Mumbai,"communication, teamwork, problem solving",14.0L
business analyst,Ebix Software India,Delhi,"communication, teamwork, problem solving",7.0L
business analyst,Indus Valley Partners,Hyderabad,"communication, teamwork, problem solving",17.0L
business analyst,Schlumberger,Pune,"communication, teamwork, problem solving",14.5L
business analyst,Capita,Pune,"communication, teamwork, problem solving",5.9L
business analyst,CRMnext,Delhi,"communication, teamwork, problem solving",6.6L
business analyst,NeoSoft Technologies,Noida,"communication, teamwork, problem solving",6.9L
business analyst,NSE.IT,Hyderabad,"communication, teamwork, problem solving",6.8L
business analyst,Nokia,Gurgaon,"communication, teamwork, problem solving",9.3L
business analyst,Capco Technologies,Bangalore,"communication, teamwork, problem solving",13.9L
business analyst,eClerx,Hyderabad,"communication, teamwork, problem solving",3.7L
business analyst,Affine Analytics,Mumbai,"communication, teamwork, problem solving",6.8L
business analyst,Exela Technologies,Chennai,"communication, teamwork, problem solving",8.3L
business analyst,Analytics Quotient,Hyderabad,"communication, teamwork, problem solving",5.3L
business analyst,NIIT Technologies,Chennai,"communication, teamwork, problem solving",11.1L
business analyst,QualityKiosk Technologies,Gurgaon,"communication, teamwork, problem solving",7.7L
business analyst,Fidelity Investment,Chennai,"communication, teamwork, problem solving",9.9L
business analyst,Altisource,Hyderabad,"communication, teamwork, problem solving",5.5L
business analyst,Polestar Solutions & Services India,Noida,"communication, teamwork, problem solving",6.1L
business analyst,Veeraraghavan & Company,Noida,"communication, teamwork, problem solving",1.7L
business analyst,Verizon,Gurgaon,"communication, teamwork, problem solving",10.5L
business analyst,BYJU'S,Hyderabad,"communication, teamwork, problem solving",7.7L
business analyst,Bank of America,Pune,"communication, teamwork, problem solving",14.1L
business analyst,Better.com,Mumbai,"communication, teamwork, problem solving",7.8L
business analyst,KJ System,Bangalore,"communication, teamwork, problem solving",2.9L
business analyst,ValueLabs,Mumbai,"communication, teamwork, problem solving",11.3L
business analyst,Xyz Company,Pune,"communication, teamwork, problem solving",12.3L
business analyst,IndusInd Bank,Noida,"communication, teamwork, problem solving",8.0L
business analyst,Vinculum Solutions,Mumbai,"communication, teamwork, problem solving",8.8L
business analyst,Confidential,Mumbai,"communication, teamwork, problem solving",8.3L
business analyst,Infosys BPM,Bangalore,"communication, teamwork, problem solving",6.0L
business analyst,General Mills,Noida,"communication, teamwork, problem solving",9.7L
business analyst,Yash Technologies,Hyderabad,"communication, teamwork, problem solving",8.9L
business analyst,Shipco Transport,Gurgaon,"communication, teamwork, problem solving",3.4L
business analyst,Aon,Pune,"communication, teamwork, problem solving",5.4L
business analyst,Persistent Systems,Gurgaon,"communication, teamwork, problem solving",12.5L
business analyst,Unisys,Pune,"communication, teamwork, problem solving",7.7L
business analyst,Azentio,Bangalore,"communication, teamwork, problem solving",7.1L
business analyst,Synechron,Noida,"communication, teamwork, problem solving",16.4L
business analyst,Ford Motor,Gurgaon,"communication, teamwork, problem solving",8.1L
business analyst,Birlasoft,Bangalore,"communication, teamwork, problem solving",8.5L
business analyst,Cybage,Hyderabad,"communication, teamwork, problem solving",14.6L
business analyst,Lentra AI,Bangalore,"communication, teamwork, problem solving",6.8L
business analyst,N+A,Chennai,"communication, teamwork, problem solving",6.3L
business analyst,IVY Comptech,Chennai,"communication, teamwork, problem solving",14.6L
business analyst,S&P Global,Bangalore,"communication, teamwork, problem solving",11.1L
business analyst,Gartner,Bangalore,"communication, teamwork, problem solving",14.2L
business analyst,Acidaes Solutions,Delhi,"communication, teamwork, problem solving",7.0L
business analyst,Udaan,Gurgaon,"communication, teamwork, problem solving",11.6L
business analyst,Reliance Industries,Noida,"communication, teamwork, problem solving",8.1L
business analyst,Dell EMC,Bangalore,"communication, teamwork, problem solving",6.6L
business analyst,GlobalLogic,Noida,"communication, teamwork, problem solving",9.0L
business analyst,eClinicalWorks,Gurgaon,"communication, teamwork, problem solving",5.3L
business analyst,ThoughtWorks,Pune,"communication, teamwork, problem solving",14.7L
business analyst,Landmark Group,Chennai,"communication, teamwork, problem solving",11.6L
business analyst,Merilytics,Gurgaon,"communication, teamwork, problem solving",7.0L
business analyst,Care Health Insurance,Bangalore,"communication, teamwork, problem solving",5.9L
business analyst,Epsilon,Chennai,"communication, teamwork, problem solving",9.7L
